Parallel readers rate:,90 %
writers | readers,5,10,50,1000,10000,100000
5,0.003,0.002,0.005,0.082,0.831,13.418
10,0.002,0.011,0.023,0.644,6.615,15.157
50,0.022,0.005,0.65,0.728,6.766,15.993
1000,0.197,0.222,0.19,5.494,20.901,15.549
10000,1.861,2.074,2.537,0.968,2.009,15.477
100000,16.53,15.176,14.209,15.709,16.283,38.175
Parallel readers rate:,60 %
writers | readers,5,10,50,1000,10000,100000
5,0.002,0.002,0.005,1.513,3.748,13.917
10,0.017,0.003,0.236,0.479,6.383,14.499
50,0.052,0.005,0.008,1.078,7.977,15.391
1000,0.197,0.886,0.085,0.17,0.938,13.934
10000,1.867,1.977,2.243,1.016,2.086,16.418
100000,17.449,16.501,15.705,17.995,17.061,42.566
Parallel readers rate:,30 %
writers | readers,5,10,50,1000,10000,100000
5,0.002,0.003,0.006,1.408,17.016,18.946
10,0.002,0.17,0.005,0.803,9.31,15.701
50,0.006,0.095,0.01,0.792,0.891,14.733
1000,0.199,0.191,0.195,7.438,21.573,14.404
10000,2.028,1.898,2.182,0.949,1.919,15.191
100000,14.903,15.396,14.522,14.383,18.593,40.137
Waking up all readers:,False
100 highest value
3
2
2
2
2
2
2
2
2
2
2
2
2
2
2
2
2
2
2
2
2
2
2
2
2
2
2
2
2
2
2
2
2
2
2
2
2
2
2
2
2
2
2
2
2
2
2
2
2
2
2
2
2
2
2
2
2
2
2
2
2
2
2
2
2
2
2
2
2
2
2
2
2
2
2
2
2
2
2
2
2
2
2
2
2
2
2
2
2
2
2
2
2
2
2
2
2
2
2
2
