Parallel readers rate:,90.0%
writers | readers,5,10,50,1000,10000,100000
5,0.001,0.001,0.02,0.048,0.445,3.423
10,0.001,0.001,0.003,0.035,0.331,4.065
50,0.003,0.003,0.005,0.046,0.359,3.591
1000,0.042,0.035,0.036,0.068,0.444,3.599
10000,0.339,0.345,0.34,0.375,0.717,3.828
100000,3.572,3.49,3.556,3.439,3.843,6.916
Parallel readers rate:,60.0%
writers | readers,5,10,50,1000,10000,100000
5,0.001,0.001,0.002,0.035,0.363,3.587
10,0.001,0.0,0.003,0.04,0.359,3.499
50,0.002,0.003,0.003,0.036,0.353,3.635
1000,0.037,0.039,0.039,0.075,0.411,3.679
10000,0.365,0.36,0.361,0.398,0.726,3.933
100000,3.838,4.045,3.768,3.484,3.754,6.816
Parallel readers rate:,30.0%
writers | readers,5,10,50,1000,10000,100000
5,0.0,0.001,0.002,0.033,0.347,3.427
10,0.001,0.001,0.002,0.034,0.346,3.417
50,0.002,0.002,0.003,0.036,0.343,3.472
1000,0.036,0.035,0.036,0.07,0.383,3.449
10000,0.341,0.343,0.343,0.376,0.688,3.762
100000,3.522,4.319,3.553,3.59,4.33,8.702
Waking up all readers:,true
100 highest value
17
4
4
4
3
3
3
3
3
3
3
3
3
3
3
3
3
3
3
3
3
3
3
3
3
3
3
3
3
3
3
3
3
3
3
3
3
3
3
3
3
3
3
3
3
3
2
2
2
2
2
2
2
2
2
2
2
2
2
2
2
2
2
2
2
2
2
2
2
2
2
2
2
2
2
2
2
2
2
2
2
2
2
2
2
2
2
2
2
2
2
2
2
2
2
2
2
2
2
2
